workerId,ITEM_ID,ITEM_FUNCTION,ITEM_SUBGROUP,case,class,verb,comment,ANSWER,ANSWER_POSITION,OPTION_0_ITEM,OPTION_1_ITEM,OPTION_0_KEY_CONDITION,OPTION_1_KEY_CONDITION,date_time_begin,date_time_end,rt,trial_index
449,f32,calibration,unrelated,,,,v2,accept,above,"Jonas hat mitbekommen, dass gestern ein Lehrer verprügelt wurde.","Jonas hat mitbekommen, dass gestern wurde ein Lehrer verprügelt.",accept,*,17:46:25,17:46:35,10042,0
449,f29,calibration,related,,,,refl_ES,accept,above,"Julia hat erzählt, dass sich ihr Bruder für sein Verhalten geschämt hat.","Julia hat erzählt, dass ihr Bruder für sein Verhalten sich geschämt hat.",accept,?,17:46:35,17:46:47,12464,1
449,f28,calibration,related,,,,EO_perf_aux,accept,below,"Leon hat erwähnt, dass seiner Mutter die Entlassung zugesetzt hat.","Leon hat erwähnt, dass seiner Mutter die Entlassung zugesetzt ist.",accept,*,17:46:47,17:46:58,11170,2
449,f27,calibration,related,,,,EO_perf_aux,accept,below,"Marek hat berichtet, dass der Film einen Kritiker gelangweilt hat.","Marek hat berichtet, dass der Film einen Kritiker gelangweilt ist.",accept,*,17:46:58,17:47:08,9654,3
449,f30,calibration,related,,,,def,accept,below,"Kira hat gesagt, dass den Stadtwerken ein hoher Betrag überwiesen wurde.","Kira hat gesagt, dass ein hoher Betrag den Stadtwerken überwiesen wurde.",accept,?,17:47:08,17:47:26,18299,4
449,f31,calibration,unrelated,,,,def,accept,below,"Sarah hat gehört, dass dem Nachbarn ein Paket gegeben wurde.","Sarah hat gehört, dass ein Paket dem Nachbarn gegeben wurde.",accept,?,17:47:26,17:47:34,7332,5
449,f66,filler,unrelated,,,,Action_perf_aux,accept,above,"Nele hat gesagt, dass ihre Tochter das Loch gebohrt hat.","Nele hat gesagt, dass ihre Tochter das Loch gebohrt ist.",accept,*,17:47:34,17:47:42,8567,6
449,f36,filler,related,,,,BenO_acc,SubjObj,below,"Marek hat berichtet, dass ein Schneesturm einen Springer behindert hat.","Marek hat berichtet, dass einen Springer ein Schneesturm behindert hat.",SubjObj,ObjSubj,17:47:42,17:47:52,9827,7
449,f54,filler,related,,,,BenO_acc,ObjSubj,below,"Anna hat gesagt, dass ein Sicherheitsgurt einen Autofahrer geschützt hat.","Anna hat gesagt, dass einen Autofahrer ein Sicherheitsgurt geschützt hat.",SubjObj,ObjSubj,17:47:52,17:48:03,11266,8
449,f58,filler,unrelated,,,,pers_pron,accept_SO,below,"Jonas hat erzählt, dass er es vorbereitet hat.","Jonas hat erzählt, dass es er vorbereitet hat.",accept_SO,*_OS,17:48:03,17:48:10,6866,9
